"month","year","monthly_sum"
12,2000,209.803
1,2001,794.808
2,2001,645.382
3,2001,537.13425
7,2001,256.033
8,2001,317.147625
10,2001,719.928
11,2001,962.0905
12,2001,997.14175
1,2002,779.788625
2,2002,785.318
4,2002,486.67775
7,2002,252.014
8,2002,290.9845
9,2002,437.88225
10,2002,693.30225
11,2002,979.57
1,2003,914.39975
10,2003,571.92575
11,2003,768.65875
2,2004,733.80625
3,2004,612.568125
4,2004,394.753125
5,2004,343.44625
6,2004,302.117
7,2004,247.03925
8,2004,337.15275
9,2004,467.79225
12,2004,815.27225
1,2005,561.48875
2,2005,488.595625
5,2005,399.002125
9,2005,497.66425
10,2005,659.530875
11,2005,766.70025
12,2005,686.353
1,2006,614.601125
3,2006,502.949125
4,2006,315.88
7,2006,331.129625
9,2006,405.12725
10,2006,560.96675
11,2006,701.357
12,2006,796.00625
1,2007,1007.271125
3,2007,631.728125
4,2007,569.3445
5,2007,354.953125
7,2007,257.947375
10,2007,854.759625
11,2007,1052.581
12,2007,1018.056125
1,2008,992.945625
2,2008,923.050375
4,2008,446.21075
5,2008,307.188375
6,2008,291.748
7,2008,335.9905
10,2008,680.461375
11,2008,923.2585
12,2008,1074.193375
1,2009,980.487125
2,2009,860.250125
3,2009,920.24675
4,2009,504.125
6,2009,277.801125
8,2009,367.63875
9,2009,504.729625
10,2009,738.299125
11,2009,1026.104
12,2009,1293.72825
1,2010,1600.18075
2,2010,1172.01075
4,2010,603.73775
7,2010,276.756625
9,2010,574.401125
10,2010,789.209375
11,2010,981.887
12,2010,974.617375
1,2011,1216.253375
2,2011,1156.408875
3,2011,1109.2505
4,2011,645.00125
5,2011,429.175875
6,2011,294.867125
8,2011,394.201125
9,2011,617.940875
10,2011,926.839
11,2011,1221.797
12,2011,1135.187375
1,2012,950.636
2,2012,1050.078
3,2012,1134.006875
4,2012,613.342375
5,2012,442.73375
6,2012,329.3335
7,2012,332.44175
8,2012,449.35825
9,2012,562.154
10,2012,915.91725
11,2012,1116.1635
12,2012,1348.6305
1,2013,1105.691625
2,2013,1047.2525
3,2013,1066.351625
4,2013,648.92725
5,2013,425.546875
6,2013,359.835375
7,2013,335.46675
8,2013,434.6105
9,2013,575.4605
10,2013,920.286
11,2013,1365.49875
1,2014,1469.9855
2,2014,1361.044375
3,2014,1057.464375
4,2014,609.80675
6,2014,328.163375
7,2014,389.190125
8,2014,505.402625
9,2014,609.270625
10,2014,981.60675
11,2014,1335.83175
12,2014,1516.19175
1,2015,1470.415625
2,2015,1381.632125
3,2015,1168.213
4,2015,809.07725
6,2015,308.33575
7,2015,389.067
8,2015,491.465375
10,2015,828.01925
11,2015,1266.4615
12,2015,1281.145125
2,2016,1450.8535
7,2016,387.87625
9,2016,689.767
10,2016,1030.697125
11,2016,1425.488
1,2017,1663.264
2,2017,1123.33225
3,2017,1307.8225
4,2017,581.53625
5,2017,363.77
6,2017,362.458625
7,2017,394.792375
10,2017,917.715625
11,2017,1133.5985
12,2017,1160.228375
1,2018,1294.261875
2,2018,1124.682
3,2018,974.898125
6,2018,312.913375
7,2018,351.841
8,2018,466.397
9,2018,701.661875
10,2018,1036.650125
11,2018,1383.96475
12,2018,1275.1765
2,2019,1505.291875
3,2019,1109.35175
5,2019,372.177
6,2019,327.392125
7,2019,345.298875
8,2019,455.793875
9,2019,603.48925
10,2019,957.148875
11,2019,1451.28575
12,2019,1500.642375
1,2020,1668.8225
2,2020,1372.7355
3,2020,1118.118125
4,2020,573.756375
5,2020,408.6815
6,2020,325.94725
7,2020,363.720875
8,2020,427.336875
9,2020,550.30625
10,2020,895.597
11,2020,1104.98725
12,2020,1304.1295
1,2021,1108.36175
2,2021,1072.137125
